product_name,page,avg_price,rating,comments_num,sold_num,style_num,img_num,description_len,remain_num,transport_free,seller_name,product_num,watching,response_rating,canceled_rate,follower_num,comment_rating,comment_num
/【SKR六六六】落肩-背圖標語印花-短袖上衣-寬版-落肩-五分袖-OVERSIZE-五分T-短T-現貨-男裝-男生衣著-i.126860707.1981927161,0,320,4.9,131,308,3,5,632,35,99,akaskr,340,3,1,0.04,"5,435",4.9,"(5,871個評價)"
/??優質現貨下殺-??歐美爆款潮牌芝麻街刺繡學生上衣閨蜜裝情侶衣男生衣著-女生衣著-情侶穿搭-情侶裝-正韓上衣-韓妞必備-i.30990996.1261050370,0,99,4.5,63,189,20,5,531,13303,299,bsupermarket.tw,2748,168,1,0.01,4.5萬,4.7,(5.2萬個評價)
/【12色號色】爆款-夏季新款男T恤-短袖T-素踢-帥氣百搭-短袖t恤-短袖衣服-男生衣著-超經典素T-現貨-男女款-i.28180396.464971492,0,98,4.9,31,92,12,5,269,5904,299,affligastore.tw,508,4637,0.98,,"3,073",4.7,"(8,355個評價)"
/現貨-秋季新款-嘻哈-歐美-街頭-長袖T恤-青少年-圓領-潮牌-百搭-學生-時尚-寬松-修身-印花-上衣-潮流-男生衣著-i.178327990.5803274572,0,99,5,19,43,2,5,725,178,299,lin630502806,829,23,1,,"1,656",4.8,"(1,779個評價)"
/??Day6潮流館??秋冬新款男士長袖半高領絨面打底衫-時尚休閒金絲絨保暖上衣-內搭加絨長袖T恤修身上衣-男生衣著-i.62712486.4113714208,0,149,5,1,4,4,5,1264,3992,299,2018day6,1078,3000,0.99,0.01,"2,201",4.8,(1.1萬個評價)
/【現貨】抗起球-不掉色-韓版衛衣-衛衣-大學T-長袖衛衣-百搭上衣-男生衣著-新款休閒潮牌網紅?版爆款拼色上衣-i.75713020.2895513714,0,199,4.8,17,29,4,5,559,2288,299,henghui1520,1511,0,0.99,,"1,831",4.9,"(2,462個評價)"
/2019秋季型男時尚休閒長袖T恤韓版修身透氣立領棉質打底衫長袖上衣POLO衫-男生長袖V領T恤-長袖Polo衫-男生衣著-i.32617730.1608497561,0,198,4.7,51,125,17,5,536,8369,299,yinyunyin,2446,3325,1,,2.9萬,4.8,(9.9萬個評價)
/現貨批發??韓版長版上衣情侶裝五分袖虎頭印花-男生衣著-潮t原宿-歐美爆款潮牌T恤個性街頭嘻哈日系港味顯瘦寬鬆大尺碼上衣-i.30990996.1274649983,0,129,4.8,22,69,10,5,643,9911,299,bsupermarket.tw,2748,168,1,0.01,4.5萬,4.7,(5.2萬個評價)
/【現貨】????免運高質感-寬鬆-男生-短袖素T-大尺碼-衣著-上衣-t恤-大碼衣著-素T-素面短袖-內搭-百搭-純色-i.14633803.1224040633,0,88,4.9,36,129,20,5,711,5398,299,fashion2017.tw,4574,4996,1,0.03,5.1萬,4.8,(8.9萬個評價)
/??現貨PLAYBOY花花公子正品連帽夾克外套-薄外套潮牌個性風衣外套運動休閑外套帶帽潮流百搭帥氣港風男女生衣著男裝加厚-i.118176907.1840486809,0,1054.5,4.9,55,75,6,5,1621,359942,299,playboyvip,4522,2657,1,,"1,437",4.9,"(1,278個評價)"
/Oni-加拿大代購-tommy-denim-男生短袖-i.5797632.2222927718,0,930,5,63,127,3,3,210,51,2400,yuni_oni,221,0,0.97,0.02,1.2萬,5,"(9,132個評價)"
/原單-貨號-BL082-Fendi-芬迪-短T-老佛爺-短袖T恤-休閒短T-短Tee-高彈莫代爾棉質-i.233634510.4119334996,0,506,5,5,10,4,5,430,1961,990,jia.yuchang,297,1,0.99,,28,4.8,(25個評價)
/【買一送一】韓國ins超火原宿純色百搭九分褲-寬鬆顯瘦直筒褲-休閒褲-工裝褲-休閒長褲-寬褲-卡其褲-男生長褲-正韓衣著-i.69006096.2851930211,1,269,4.8,61,137,9,5,605,1594,299,edc1997,2846,3,0.99,0.01,1.3萬,4.8,(2.1萬個評價)
/【Bravo】現貨-三色-韓國-短T-查理布朗-情侶裝-男生上衣-短袖-情侶衣-i.2512683.6019458874,1,280,5,1,2,9,5,258,266,1000,tw7737_51777,93,6,0.86,,800,4.9,(810個評價)
/真的任選5件680-純棉短T加大尺碼-男生三葉草LOGO印花愛迪達-男女情侶裝上衣衣服團體服工作服-短袖-i.2335703.2473436712,1,165,4.7,96,637,8,5,903,738,1000,didi0928,372,40,0.96,,"1,214",4.8,"(1,640個評價)"
/原單-AF-男生-短T-A09-插肩袖-A-F-短袖T恤-麋鹿-海鷗-HCO-短Tee-短袖T-Shirt-i.22138117.1162417908,1,380,4.7,51,85,5,5,575,608,980,aaacx668,208,1,0.99,0.03,"4,459",4.8,(1.1萬個評價)
/??現貨男裝▲韓版男生短袖T恤-韓系個性虎頭印花短袖寬鬆大尺碼上衣學院風顯瘦男生T恤新款衣著時尚百搭T恤學生休閒情侶t-i.33389042.1120840265,1,99,4.7,133,364,10,5,597,9593,299,sinsuper,4205,564,1,,3.4萬,4.8,(5.2萬個評價)
/2020新款短袖T恤-男生衣著-短袖T恤-寬鬆休閒短袖上衣-嘻哈ins超火的短袖男士T恤-?松五分袖-潮牌情??半袖上衣-i.101701319.2306485743,1,169,4.9,12,20,10,5,556,1589,299,ruibu2018,2363,3000,1,0.03,1.4萬,4.7,(1.8萬個評價)
/中國風棉麻長袖T恤-素面T恤-長袖POLO衫-棉t-長袖上衣立領民族風-休閒T恤-修身顯瘦T恤-舒適透氣男生衣著復古百搭-i.41060121.1161913578,1,216,4.9,45,108,19,5,670,5588,299,yirene,2569,4974,0.98,0.01,2.6萬,4.8,(3.8萬個評價)
/【原創】無上菩提短袖男-仙鶴中國風t恤-夏季胖子加肥加大碼潮流寬松體恤衫-學生時髦五分短袖-休閒百搭情侶裝衣服-男生衣著-i.163504458.2757787970,1,122,5,10,17,2,5,1050,1608,299,yang15915695080,1484,1557,1,,"1,516",4.8,"(1,945個評價)"
/2019秋裝新款-男士長袖衛衣-休閒衛衣-日系間約素色衛衣-韓版假兩件圓領套頭衛衣-男女同款時尚百搭慵懶風上衣-男生衣著-i.160378808.2645942232,1,187,4.8,16,34,3,5,1034,1960,299,luobao88,2661,3000,1,,"8,303",4.8,"(9,336個評價)"
/【潮品館】毛衣-針織衫-毛線衫-韓版潮流時尚開叉毛衣-學院風男生打底衫-針織毛線衫-男生毛衣-線衫-長袖上衣-正韓衣著-i.74417945.1749810059,1,492,5,4,15,9,5,601,1706,299,mengfan88,4193,3396,0.99,0.05,"6,742",4.8,"(8,729個評價)"
